id,vegetarian,v,h,name,age,consent
a8gdzaneft,0,7,44,Emma Blomgren,12,1
9td2rzm8r8,0,7,172,Daniel Solberg,15,1
28zsybgnhl,0,7,90,Colette Yamada,11,1
ht79pfrkuh,1,7,24,Berndt Voigt,18,1
98crvplbcz,0,7,148,Hiro Summers,10,1
mjds9nqt7k,0,7,65,Cameron Yamada,18,1
crd7aufrvd,0,7,90,Audrey Yamada,12,1
lfqztedl85,0,7,285,Ayano Price,17,1
86sac8vl6p,0,7,65,Lee Yamada,15,1
9x9ejn762f,0,7,227,Adrian Anderson,19,1
kf9rscewx8,1,7,281,Riley Connolly,14,1
maynltjkt8,0,7,294,Owen Jones,12,1
9ctn74q4eq,0,7,32,Jana Ibsen,12,1
l8srr7h8c7,0,7,198,Ole Blomgren,18,1
drx6n4qrqv,0,7,198,Rosalind Blomgren,16,1
kzqscsbjvm,0,7,153,Hana Koyama,17,1
bft3ksywj8,0,7,276,Aadiv Tamboli,13,1
6xjv9e5akw,0,7,109,Naadir Maharaj,11,1
4zljaduag6,0,7,198,Peter Collins,15,1
r8rtbsglv5,0,7,8,Valdemar Olsen,11,1
fdah5pr5y9,0,7,204,Hanne Eklund,12,1
uft26jvyf3,0,7,210,Jasmin Bager,18,1
qxxaceggp8,0,7,160,Philipp Solberg,18,1
7235tmnmwb,0,7,32,Angele Julien,10,1
6g9322svf9,0,7,16,Hanna Erickson,26,1
wxjvrwe49a,0,7,109,Vasudha Maharaj,35,1
jkt4dtyppr,0,7,20,Henrik Solberg,37,1
a8lq2sv7nt,0,7,262,Susannah Collins,33,1
d6lvklpqsy,0,7,93,Nico Eklund,31,1
xze3ggbm3g,0,7,234,Theresa Eklund,29,1
g2rr7adhm6,1,7,239,Jacob Jackson,34,1
yszvy4xght,0,7,109,Pranay Maharaj,34,1
vl844l9ca3,0,7,231,Julia Lund,30,1
5jky97l4k5,0,7,32,Edouard Julien,35,1
qujs5d8fwe,0,7,81,Kashvi Ghosh,22,1
7f2gnlk76h,0,7,317,Masa Connolly,24,1
lb2tm2lz7c,0,7,309,Takahiro Sato,36,1
a77pzx4v7u,0,7,103,Riko McCarthy,28,1
6mlaeamp8u,0,7,208,Gala Jensen,36,1
rh7fbkrtz6,0,7,56,Nina Eklund,23,1
v3cj8dppxu,0,7,71,Hironobu Kaneko,36,1
l4tq76bl7r,1,7,175,Shota Jackson,38,1
fu5rl3rw5t,0,7,113,Milana Chatterjee,40,1
u3ypfd72ds,0,7,267,Justin Price,52,1
w4w467awzu,0,7,315,Georges Ruiz,45,1
jvpn6ts2ty,0,7,301,Ryan Kimura,52,1
wljvsf3sma,1,7,84,Tindra Blomgren,51,1
fkudf6g9ry,0,7,157,Klemens Ernst,49,1
5cguebvny2,0,7,160,Lena Solberg,55,1
bf2vubpqf2,0,7,164,Anthony Wilson,52,1
r699wvw2gl,0,7,147,Olson Solberg,42,1
gcblu7224j,0,7,281,Ren Connolly,50,1
rssa582mve,0,7,201,Madison Wilson,52,1
3r5ekeysuy,0,7,193,Michelle Price,50,1
bfq5q9jws6,0,7,297,Lara Eklund,52,1
uecy2lees8,0,7,87,Axel Clausen,52,1
dzty7r84mg,1,7,58,Jack Collins,57,1
2k35x5dj4r,1,7,91,Shannon McCarthy,52,1
fz2mqndt6q,0,7,191,Malika Fabre,47,1
dw7em2gx23,0,7,134,Varsha Babu,43,1
cpg6dpf39d,0,7,47,Jakob Olsen,42,1
j74c8gp8zw,0,7,230,Takumi Collins,49,1
7tyz4hkgr5,0,7,194,Victor Black,49,1
f2453mgswe,0,7,21,Mia Ibsen,51,1
d8d3vtgm6r,0,7,186,Liam Sato,42,1
vx9sb58r8t,1,7,287,Armand Simon,52,1
adwrkh6xzd,1,7,89,Philipp Sorensen,55,1
4p5xd7h4j6,0,7,232,Simone Watanabe,54,1
ajegay6zpm,1,7,107,Blandine Masson,49,1
b3l76sllrn,0,7,313,Kakuji Okamoto,47,1
ccvlvgjvuu,0,7,10,Ross Morris,57,1
3u87md32zw,0,7,41,Hiromori Otsuka,47,1
49wsbatrk8,0,7,311,Harold Blomgren,57,1
ld7jm53aad,0,7,250,Manami Hall,47,1
wmm7p7pafe,0,7,86,Laasya Kaur,60,1
q4u27a7wzg,1,7,152,Kenta Edwards,76,1
sekpsbglyn,0,7,76,Shannon Regan,77,1
